序号,转债名称,转债代码,股票名称,股票代码,行业,转债价格,涨跌,盘中套利,股价,涨跌.1,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度,转债名称.1
156,赣锋转债!,128028,赣锋锂业,2460,有色金属,108.031,0.35%,-0.68%,26.96,-2.85%,1.8,0.2%,42.28,4.4,-36.2%,63.77,69.4%,转股中,4年18天,2年18天,2.7%,1.7%,9.3,0.41%,-0.04%,0.32%,-2.34%,-2.56%,92.13,90.44,3.94,94.38,14.5%,55%,45%,17%,0.12,-2.47,2.94,AA,5.0%,18,赣锋转债!
157,铁汉转债!,123004,铁汉生态,300197,城市公用设施,99.404,-0.20%,0.10%,3.16,-0.32%,2.5,0.3%,3.98,1.15,-20.6%,79.4,25.2%,转股中,4年15天,2年15天,11.2%,8.9%,8.3,2.66%,2.17%,2.56%,1.66%,1.38%,92.63,90.94,8.03,98.97,0.4%,57%,17%,15%,0.31,0.05,0.58,AA,5.0%,35,铁汉转债!
158,泰晶转债!,113503,泰晶科技,603738,电子,111.38,0.93%,-0.24%,15.35,1.66%,14.0,19.9%,17.9,3.54,-14.2%,85.75,29.9%,转股中,4年12天,2年12天,2.5%,2.1%,0.6,0.34%,-0.24%,0.23%,-3.36%,-3.64%,92.99,93.16,11.14,104.3,6.8%,63%,27%,16%,0.42,-1.11,2.01,AA,5.0%,28,泰晶转债!
159,众兴转债!,128026,众兴菌业,2772,农业,93.00200000000001,-0.07%,0.05%,6.67,-0.45%,1.0,0.1%,11.54,1.01,-42.2%,57.8,60.9%,转股中,4年10天,2年10天,37.5%,21.7%,9.2,4.58%,4.03%,4.47%,5.01%,4.68%,91.12,88.2,3.98,92.18,0.9%,35%,22%,16%,0.05,-0.18,0.27,AA-,6.0%,59,众兴转债!
160,蓝思转债!,123003,蓝思科技,300433,电子,127.78,1.09%,0.15%,13.02,1.48%,13.0,0.4%,10.44,2.99,24.7%,124.71,2.5%,转股中,4年5.0天,2年5.0天,4.1%,5.1%,22.3,-3.67%,-4.11%,-3.76%,-9.47%,-9.70%,93.71,92.78,39.04,131.82,-3.1%,56%,<2%,16%,0.84,1.41,0.31,AA+,4.5%,34,蓝思转债!
161,特一转债!,128025,特一药业,2728,医药,108.50200000000001,0.14%,-0.40%,16.08,-0.37%,0.8,0.2%,15.45,3.07,4.1%,104.08,4.3%,转股中,4年3.0天,2年3.0天,10.5%,10.9%,3.4,0.42%,-0.06%,0.32%,-2.36%,-2.63%,90.90,87.76,27.46,115.22,-5.8%,34%,<2%,17%,0.71,1.62,-0.12,AA-,6.0%,32,特一转债!
162,亚太转债!,128023,亚太股份,2284,汽车,93.50200000000001,0.01%,-0.02%,4.51,-1.10%,1.6,0.2%,10.34,1.32,-56.4%,43.62,114%,转股中,4年1.0天,2年1.0天,30.1%,13.1%,10.0,4.91%,4.28%,4.78%,4.75%,4.43%,93.03,93.19,0.34,93.54,-0.0%,37%,24%,17%,0.01,0.01,0.01,AA,5.0%,58,亚太转债!
163,众信转债!,128022,众信旅游,2707,旅游餐饮酒店,99.51299999999999,0.01%,0.18%,5.2,1.36%,1.5,0.2%,7.91,2.0,-34.3%,65.74,51.4%,转股中,3.997年,1.997年,15.3%,10.1%,7.0,2.53%,2.06%,2.44%,1.41%,1.17%,92.34,90.64,4.26,94.91,4.9%,40%,31%,17%,0.14,-0.84,1.12,AA,5.0%,15,众信转债!
164,兄弟转债!,128021,兄弟科技,2562,医药,108.01100000000001,-0.18%,0.27%,4.59,0.22%,0.6,0.1%,5.25,1.9,-12.6%,87.43,23.5%,转股中,3.99年,1.99年,12.2%,10.7%,5.1,0.42%,-0.04%,0.33%,-2.39%,-2.62%,92.37,90.68,12.66,103.34,4.5%,53%,25%,16%,0.45,-0.61,1.54,AA,5.0%,19,兄弟转债!
165,国祯转债!,123002,国祯环保,300388,城市公用设施,124.69,0.59%,-0.51%,10.06,0.10%,1.8,0.3%,8.6,2.05,17.0%,116.98,6.6%,转股中,3.98年,1.98年,7.4%,8.6%,5.0,-3.20%,-3.63%,-3.28%,-8.76%,-8.96%,92.42,90.73,33.87,124.6,0.1%,50%,17%,16%,0.8,0.64,0.96,AA,5.0%,10,国祯转债!
