转债名称,转债代码,股票日期,股票名称,股票代码,所属行业,转债价格,涨跌_1,盘中套,股价,涨跌_2,转债成交额,转债换手率,转股价格,P/B,股价/转股价,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,税前收益率,税后收益率,加权收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,涨修正弹,跌修正弹,信用,折现率,热门度
华夏转债,128077,,华夏航空,002928,交通运输,110.24,-0.05,0.55,10.35,0.78,0.5,0.1,10.52,2.55,-1.6,98.38,12.1,143.0,5.88,3.88,12.7,12.5,7.9,1.60,0.98,1.48,-1.41,-1.61,82.50,86.38,29.04,115.42,-4.5,115.42,14,18,0.64,0.93,0.37,325,6.0,21
金轮转债,128076,,金轮股份,002722,机械装备制造,104.02,0.32,1.61,14.83,2.77,10,4.5,14.96,1.38,-0.9,99.13,4.9,141.0,5.87,3.87,8.2,8.2,2.1,1.80,1.32,1.71,-0.05,-0.24,82.23,82.43,30.70,113.13,-8.1,113.13,9,17,0.70,1.87,-0.35,325,6.0,18
金能转债,113545,,金能科技,603113,煤炭,104.55,0.05,0.27,10.16,0.59,6.2,0.4,11.55,1.26,-12.0,87.97,18.9,139.0,5.87,3.87,21.8,19.2,15.0,1.71,1.23,1.62,-0.18,-0.36,85.40,87.05,18.88,105.93,-1.3,105.93,17,17,0.53,0.42,0.65,200,5.0,15
万里转债,123032,,万里马,300591,服装纺织,100.214,-0.33,-1.66,5.52,-4.50,3.9,2.2,6.92,3.41,-20.2,79.77,25.6,138.0,5.86,3.86,10.5,8.3,1.8,5.10,4.14,4.91,1.88,1.50,81.11,88.23,19.39,107.62,-6.9,107.62,7,18,0.44,0.81,0.11,275,7.5,32
游族转债,128074,,游族网络,002174,通信互联网,113.85,-0.63,0.76,15.63,0.26,20,1.5,17.06,2.62,-8.4,91.62,24.3,117.0,5.81,3.81,8.3,7.6,11.5,0.97,0.36,0.85,-2.32,-2.49,85.64,91.06,19.28,110.33,3.2,110.33,23,17,0.52,-0.46,1.52,200,5.0,21
远东转债,128075,,远东传动,002406,汽车,104.504,-0.11,0.33,5.16,0.39,5.0,0.5,5.79,1.11,-10.9,89.12,17.3,117.0,5.81,3.81,30.9,27.5,8.9,1.72,1.24,1.62,-0.20,-0.38,85.55,87.19,19.48,106.68,-2.0,106.68,16,17,0.54,0.58,0.52,200,5.0,14
桃李转债,113544,,桃李面包,603866,食品饮料,117.7,-0.39,0.02,43.38,-0.64,4.0,0.3,47.54,8.28,-8.8,91.25,29.0,116.0,5.81,3.81,3.5,3.2,10.0,-0.36,-0.83,-0.45,-3.14,-3.32,85.68,87.33,20.09,107.41,9.6,107.41,30,16,0.57,-1.58,2.87,200,5.0,18
晶瑞转债,123031,,晶瑞股份,300655, 石油然气化工,131.098,-1.80,-0.15,27.15,-2.09,107,43.7,18.38,7.90,47.7,147.71,-11.2,95.0,5.75,3.75,4.5,6.6,1.9,-2.11,-2.59,-2.21,-5.87,-6.03,78.36,77.30,78.04,155.34,-15.6,155.34,2,18,0.93,4.40,-1.90,275,7.5,24
哈尔转债,128073,,哈尔斯,002615,其他,104.702,-0.79,0.79,5.2,0.00,2.1,0.7,5.80,2.42,-10.3,89.66,16.8,89.0,4.73,2.73,14.1,12.6,3.0,2.17,1.56,2.04,-0.75,-0.92,86.65,88.19,18.19,106.38,-1.6,106.38,17,17,0.53,0.32,0.75,325,6.0,26
九洲转债,123030,,九洲电气,300040,能源电力,103,-0.07,0.18,5.25,0.19,1.0,0.3,5.70,0.93,-7.9,92.11,11.8,88.0,5.72,3.72,17.1,15.8,3.1,2.84,2.20,2.71,0.25,0.05,83.14,86.92,23.90,110.82,-7.1,110.82,10,18,0.58,1.44,-0.20,325,6.0,33
翔鹭转债,128072,,翔鹭钨业,002842,有色金属,104.7,-0.66,-0.23,11.18,-2.36,2.1,0.7,15.36,3.67,-27.2,72.79,43.8,87.0,5.72,3.72,9.8,7.2,3.0,1.76,1.27,1.66,-0.22,-0.41,82.98,83.31,13.07,96.38,8.6,96.38,30,18,0.38,-1.80,2.71,325,6.0,17
英科转债,123029,,英科医疗,300677,医药,114.3,-0.05,-0.14,15.24,-0.39,1.6,0.3,16.25,2.19,-6.2,93.78,21.9,85.0,5.71,3.71,15.6,14.6,4.7,3.56,2.48,3.34,-1.53,-1.90,86.33,100.50,19.93,120.42,-5.1,120.42,11,17,0.48,0.89,0.10,325,6.0,30
